,Ticker,Latest_Price,Score,PE_Ratio,PEG_Ratio,SMA_150,SMA_200,52_Week_Low,52_Week_High
0,AFL,87.69000244140625,74.45,9.646865,1.81,81.58,79.96,64.1,88.59
1,ALL,164.83999633789062,89.42,36.07002,0.1,152.58,141.88,100.57,177.37
2,GOOGL,174.99000549316406,77.25,26.797855,1.17,145.42,142.58,115.35,178.77
3,GOOG,176.3300018310547,77.25,27.04448,1.18,146.82,143.85,115.83,179.95
4,AXP,238.17999267578125,88.82,19.603292,1.19,199.09,187.95,140.91,244.41
5,AIG,78.02999877929688,82.24,11.663677,0.93,70.31,67.57,52.78,80.83
6,AMP,440.9700012207031,80.74,15.0143,0.71,387.88,373.65,295.65,442.09
7,AMAT,220.88999938964844,92.61,25.389656,1.77,177.76,168.72,129.21,225.07
8,ACGL,103.36000061035156,80.74,8.157853,0.61,86.38,84.58,69.05,103.79
9,BAC,39.70000076293945,80.74,13.689655,1.38,33.57,32.1,24.96,39.84
10,BK,59.09000015258789,86.93,14.809524,0.99,52.59,50.07,39.66,59.7
11,BLK,781.9000244140625,83.73,19.880499,1.51,765.26,738.41,596.18,845.0
12,CBRE,87.5,80.74,27.429466,1.78,86.27,84.37,64.63,98.65
13,CI,332.6099853515625,82.24,27.330318,0.99,321.09,311.95,240.5,365.71
14,DVA,138.5399932861328,99.0,15.707482,1.02,115.71,110.76,71.51,145.04
15,DECK,1032.9000244140625,79.44,35.458294,1.36,776.43,713.35,464.25,1036.98
16,D,52.790000915527344,73.05,22.852816,0.95,46.91,46.34,39.18,54.74
17,GEN,24.88999938964844,85.23,25.927084,1.01,21.38,20.72,16.38,25.47
18,GD,299.6199951171875,69.86,24.458775,1.4,265.64,254.76,202.35,301.48
19,GS,461.1799926757813,86.93,17.98674,0.53,381.81,365.91,289.36,471.48
20,HBAN,13.739999771118164,74.45,12.378378,-2.06,12.45,11.92,9.25,14.3
21,LHX,223.25,90.02,36.241882,1.87,203.89,196.21,160.25,225.9
22,MPC,177.8000030517578,77.25,8.832589,-1.83,168.33,162.84,104.32,221.11
23,OMC,95.11000061035156,85.23,12.870095,1.47,87.2,84.3,72.2,99.23
24,PCAR,109.43000030517578,88.22,11.363447,1.94,102.24,97.0,68.4,125.5
25,PSX,142.67999267578125,73.05,10.966948,-2.04,137.54,131.47,89.74,174.08
26,PGR,203.91000366210935,89.42,20.871033,0.68,182.96,171.77,111.41,217.77
27,PRU,119.36000061035156,74.45,20.128162,0.87,104.0,100.78,78.4,121.4
28,PHM,114.3000030517578,90.52,9.165998,1.64,102.76,96.2,65.28,122.72
29,QCOM,210.3600006103516,92.61,28.010653,1.8,151.27,140.89,104.33,211.3
30,TXT,88.62999725341797,71.46,18.938034,1.1,84.62,82.72,61.27,97.34
31,URI,673.5499877929688,71.46,18.283115,1.9,597.55,560.26,330.3,732.37
32,VMC,259.25,85.23,37.46387,1.88,239.21,232.15,190.51,276.58
33,WRB,79.29000091552734,96.21,14.083481,1.47,77.07,73.37,55.5,89.19
34,WAB,169.6999969482422,73.05,33.14453,1.72,134.57,127.83,91.89,170.83
